Uuid,Void/Retire,Mappings|SAME-AS|EIS-820,Fully specified name:es,Fully specified name:en,Short name:es,Description:es,Data class,Data type,Answers,Members,_version:1,_order:1150
e8200001-0000-4000-8000-000000000001,,PREVISION-1,Previsión EIS 1 - FONASA,Previsión EIS 1 - FONASA,FONASA,Código 1 del catálogo Previsión de EIS 820.,Misc,N/A,,,,
e8200001-0000-4000-8000-000000000002,,PREVISION-2,Previsión EIS 2 - ISAPRE,Previsión EIS 2 - ISAPRE,ISAPRE,Código 2 del catálogo Previsión de EIS 820.,Misc,N/A,,,,
e8200001-0000-4000-8000-000000000003,,PREVISION-3,Previsión EIS 3 - CAPREDENA,Previsión EIS 3 - CAPREDENA,CAPREDENA,Código 3 del catálogo Previsión de EIS 820.,Misc,N/A,,,,
e8200001-0000-4000-8000-000000000004,,PREVISION-4,Previsión EIS 4 - DIPRECA,Previsión EIS 4 - DIPRECA,DIPRECA,Código 4 del catálogo Previsión de EIS 820.,Misc,N/A,,,,
e8200001-0000-4000-8000-000000000005,,PREVISION-5,Previsión EIS 5 - SISA,Previsión EIS 5 - SISA,SISA,Código 5 del catálogo Previsión de EIS 820.,Misc,N/A,,,,
e8200001-0000-4000-8000-000000000096,,PREVISION-96,Previsión EIS 96 - Ninguna,Previsión EIS 96 - Ninguna,Ninguna,Código 96 del catálogo Previsión de EIS 820.,Misc,N/A,,,,
e8200001-0000-4000-8000-000000000099,,PREVISION-99,Previsión EIS 99 - Desconocido,Previsión EIS 99 - Desconocido,Desconocido,Código 99 del catálogo Previsión de EIS 820.,Misc,N/A,,,,
27d277f1-1f5b-4f9a-a111-820000000005,,,Previsión básica EIS,Previsión básica EIS,Previsión básica,Clasificación previsional vigente para el registro inicial; no representa por sí sola una cobertura FHIR.,Misc,Coded,e8200001-0000-4000-8000-000000000001;e8200001-0000-4000-8000-000000000002;e8200001-0000-4000-8000-000000000003;e8200001-0000-4000-8000-000000000004;e8200001-0000-4000-8000-000000000005;e8200001-0000-4000-8000-000000000096;e8200001-0000-4000-8000-000000000099,,,
0cc425b6-2335-55f3-b62b-6e9e6df5ca9e,,ISO3166-1-004,País ISO 3166-1 004 - AFGANISTÁN,País ISO 3166-1 004 - AFGANISTÁN,AFGANISTÁN,Código numérico 004 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
a010425d-075c-5f22-b0a3-d9dcb1223333,,ISO3166-1-008,País ISO 3166-1 008 - ALBANIA,País ISO 3166-1 008 - ALBANIA,ALBANIA,Código numérico 008 del vocabulario EIS 820 basado en ISO 3166-1.,Misc,N/A,,,,
