Uuid,Void/Retire,Fully specified name:es,Fully specified name:en,Short name:es,Description:es,Data class,Data type,Answers,Members,_version:1,_order:1155
e8200067-0000-4000-8000-000000000067,,ISAPRE 067 - Colmena Golden Cross S.A.,ISAPRE 067 - Colmena Golden Cross S.A.,Colmena Golden Cross,Código 067 informado por la Superintendencia de Salud en la cartera de mayo de 2026.,Misc,N/A,,,,
e8200078-0000-4000-8000-000000000078,,ISAPRE 078 - Cruz Blanca S.A.,ISAPRE 078 - Cruz Blanca S.A.,Cruz Blanca,Código 078 informado por la Superintendencia de Salud en la cartera de mayo de 2026.,Misc,N/A,,,,
e8200080-0000-4000-8000-000000000080,,ISAPRE 080 - Vida Tres S.A.,ISAPRE 080 - Vida Tres S.A.,Vida Tres,Código 080 informado por la Superintendencia de Salud en la cartera de mayo de 2026.,Misc,N/A,,,,
e8200081-0000-4000-8000-000000000081,,ISAPRE 081 - Nueva Masvida S.A.,ISAPRE 081 - Nueva Masvida S.A.,Nueva Masvida,Código 081 informado por la Superintendencia de Salud en la cartera de mayo de 2026.,Misc,N/A,,,,
e8200099-0000-4000-8000-000000000099,,ISAPRE 099 - Banmédica S.A.,ISAPRE 099 - Banmédica S.A.,Banmédica,Código 099 informado por la Superintendencia de Salud en la cartera de mayo de 2026.,Misc,N/A,,,,
e8200107-0000-4000-8000-000000000107,,ISAPRE 107 - Consalud S.A.,ISAPRE 107 - Consalud S.A.,Consalud,Código 107 informado por la Superintendencia de Salud en la cartera de mayo de 2026.,Misc,N/A,,,,
e8200108-0000-4000-8000-000000000108,,ISAPRE 108 - Esencial S.A.,ISAPRE 108 - Esencial S.A.,Esencial,Código 108 informado por la Superintendencia de Salud en la cartera de mayo de 2026.,Misc,N/A,,,,
e8200063-0000-4000-8000-000000000063,,ISAPRE 063 - Isalud Ltda.,ISAPRE 063 - Isalud Ltda.,Isalud,Código 063 informado por la Superintendencia de Salud en la cartera de mayo de 2026.,Misc,N/A,,,,
e8200076-0000-4000-8000-000000000076,,ISAPRE 076 - Fundación,ISAPRE 076 - Fundación,Fundación,Código 076 informado por la Superintendencia de Salud en la cartera de mayo de 2026.,Misc,N/A,,,,
e8200094-0000-4000-8000-000000000094,,ISAPRE 094 - Cruz del Norte Ltda.,ISAPRE 094 - Cruz del Norte Ltda.,Cruz del Norte,Código 094 informado por la Superintendencia de Salud en la cartera de mayo de 2026.,Misc,N/A,,,,
27d277f1-1f5b-4f9a-a111-820000000007,,Institución aseguradora ISAPRE,Institución aseguradora ISAPRE,Institución ISAPRE,Institución seleccionada desde el catálogo oficial fechado de la Superintendencia de Salud; no reemplaza la categoría ISAPRE de EIS 820.,Misc,Coded,e8200067-0000-4000-8000-000000000067;e8200078-0000-4000-8000-000000000078;e8200080-0000-4000-8000-000000000080;e8200081-0000-4000-8000-000000000081;e8200099-0000-4000-8000-000000000099;e8200107-0000-4000-8000-000000000107;e8200108-0000-4000-8000-000000000108;e8200063-0000-4000-8000-000000000063;e8200076-0000-4000-8000-000000000076;e8200094-0000-4000-8000-000000000094,,,
