Uuid,Void/Retire,Name,Description,Format,Foreign uuid,Searchable,Edit privilege,_order:1000
,TRUE,givenNameLocal,,,,,,
,,phoneNumber,Phone Number,java.lang.String,,yes,,
,,alternatePhoneNumber,Alternate Phone Number,java.lang.String,,yes,,
5a754f06-05d8-42f8-a820-000000000007,,otherPhoneType,Tipo de otro teléfono según catálogo EIS 820,org.openmrs.Concept,27d277f1-1f5b-4f9a-a111-820000000006,no,,
5a754f06-05d8-42f8-a820-000000000008,,fixedPhoneNumber,Teléfono fijo según EIS 820,java.lang.String,,yes,,
e3123cba-5e07-11ef-8f7c-0242ac120002,,email,Email Address,java.lang.String,,yes,,
2aae4fca-e10f-4fa6-83d1-710ea1839ff9,,preferredContactChannel,Canal de contacto preferido; no implica autorización para comunicaciones,java.lang.String,,no,,
9f180837-c757-47d8-a862-e181c29e276c,,contactRestrictions,Restricciones vigentes para contactar a la persona,java.lang.String,,no,,
e9db993b-c17f-4088-bf18-02f8e55fec23,,requiresThirdPartySupport,Indica necesidad vigente de apoyo de un tercero para contacto o atención,java.lang.Boolean,,no,,
5a754f06-05d8-42f8-a820-000000000001,,socialName,Nombre social declarado por la persona,java.lang.String,,yes,,
5a754f06-05d8-42f8-a820-000000000002,,biologicalSex,Sexo biológico según catálogo EIS 820,org.openmrs.Concept,27d277f1-1f5b-4f9a-a111-820000000001,no,,
5a754f06-05d8-42f8-a820-000000000003,,genderIdentity,Identidad de género declarada según catálogo EIS 820,org.openmrs.Concept,27d277f1-1f5b-4f9a-a111-820000000002,no,,
5a754f06-05d8-42f8-a820-000000000004,,nationality,Nacionalidad según código numérico ISO 3166-1 de EIS 820,org.openmrs.Concept,27d277f1-1f5b-4f9a-a111-820000000003,no,,
5a754f06-05d8-42f8-a820-000000000005,,countryOfOrigin,País de origen demográfico según código numérico ISO 3166-1 de EIS 820,org.openmrs.Concept,27d277f1-1f5b-4f9a-a111-820000000004,no,,
5a754f06-05d8-42f8-a820-000000000006,,basicHealthInsurance,Previsión básica vigente según catálogo EIS 820,org.openmrs.Concept,27d277f1-1f5b-4f9a-a111-820000000005,no,,
5a754f06-05d8-42f8-a820-000000000009,,healthInsurer,Institución ISAPRE,org.openmrs.Concept,27d277f1-1f5b-4f9a-a111-820000000007,no,,
